,title,address.label,distance,access,position.lat,position.lng,address.postalCode,id
51,Sunshine Meadows Apartment,"Sunshine Meadows Apartment, Damana, Chandrasekharpur, Bhubaneswar 751016, India",2333,"[{'lat': 20.33426, 'lng': 85.81988}]",20.33426,85.81988,751016,here:pds:place:356tgt58-e6e4363d1d121737567c372c821e36bb
52,Dharitri Enclave Apartment,"Dharitri Enclave Apartment, Damana, Chandrasekharpur, Bhubaneswar 751016, India",2339,"[{'lat': 20.33506, 'lng': 85.82299}]",20.33506,85.82306,751016,here:pds:place:356tgt58-72d4c11ab33148d098f28e2ec2cf83b2
53,Banamali Basera Apartment,"Banamali Basera Apartment, Patia, Bhubaneswar 751024, India",2354,"[{'lat': 20.34717, 'lng': 85.83617}]",20.34719,85.83637,751024,here:pds:place:356tgt5c-ccc223a1370a4f29bc6be496fe2a920f
54,Mani Tirumala Apartment,"Mani Tirumala Apartment, Raghunathpur Jali, Bhubaneswar 752054, India",2369,"[{'lat': 20.36822, 'lng': 85.83295}]",20.36823,85.83294,752054,here:pds:place:356tgt5c-4b0d7e9d063146069b6b6c37313a5b9f
55,Badri Apartments,"Badri Apartments, Sailashree Vihar-Hig Duplex, Chandrasekharpur, Bhubaneswar 751021, India",2369,"[{'lat': 20.33359, 'lng': 85.81436}]",20.33351,85.81435,751021,here:pds:place:356tgt58-506eca5e82f4b0a7aa1bb208fb13b637
56,Rashmi Lifestyle,"Rashmi Lifestyle, Kalarahanga, Bhubaneswar 751024, India",2407,"[{'lat': 20.36041, 'lng': 85.83745}]",20.3605,85.83757,751024,here:pds:place:356tgt5c-ce56c9dc28678b1c6b44c6e6a634d670
57,Z1 Apartments,"Z1 Apartments, Raghunathpur Jali, Bhubaneswar 752054, India",2417,"[{'lat': 20.36699, 'lng': 85.83449}]",20.36701,85.83448,752054,here:pds:place:356tgt5c-9ff4b47d36a3d6d837b23fbd0b1c9f66
58,Mm Lilabati Complex,"Mm Lilabati Complex, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",2500,"[{'lat': 20.36354, 'lng': 85.83741}]",20.36336,85.83748,751024,here:pds:place:356tgt5c-d4b6ab4d5ddc0679f41e263fd480df83
59,C S S Homes,"C S S Homes, Raghunathpur Jali, Bhubaneswar 752054, India",2510,"[{'lat': 20.37037, 'lng': 85.83281}]",20.37029,85.83282,752054,here:pds:place:356tgt5c-d3f80ccf0a3582af39abdc0b9312a386
60,Shri Vihar,"Shri Vihar, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",2511,"[{'lat': 20.33727, 'lng': 85.83036}]",20.33725,85.83046,751031,here:pds:place:356tgt59-28073c164b17684dc5af55674ad95583
