,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,position.lat,position.lng,address.street,references
47,Evos Olive Enclave,here:pds:place:356tgt58-f4e81a355cffb4ce2e11e838f622cf29,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33722, 'lng': 85.8045}]",2272,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Evos Olive Enclave, Sailashree Vihar, Chandrasekharpur, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Sailashree Vihar,751024,20.33706,85.80448,,
48,Mason Height,here:pds:place:356tgt5c-eb172c9f742ed8d7d0f82c107e85fede,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36169, 'lng': 85.83577}]",2282,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Mason Height, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.3618,85.83588,,
49,Rajmanohar Residency,here:pds:place:356tgt5c-4c930e4ebe1c9220da233be2023b2f38,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37132, 'lng': 85.82879}]",2314,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Rajmanohar Residency, Tarini Vihar, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,Tarini Vihar,752054,20.37133,85.82879,,
50,Essen Residency,here:pds:place:356tgt5c-edf58ea95d5b529743939f9ad0e49ff9,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37072, 'lng': 85.8299}]",2333,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Essen Residency, Essen Residency-Tarini Vihar, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,Essen Residency-Tarini Vihar,752054,20.3707,85.8299,,
51,Sunshine Meadows Apartment,here:pds:place:356tgt58-e6e4363d1d121737567c372c821e36bb,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33426, 'lng': 85.81988}]",2333,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sunshine Meadows Apartment, Damana, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Damana,751016,20.33426,85.81988,,
52,Dharitri Enclave Apartment,here:pds:place:356tgt58-72d4c11ab33148d098f28e2ec2cf83b2,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33506, 'lng': 85.82299}]",2339,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Dharitri Enclave Apartment, Damana, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Damana,751016,20.33506,85.82306,,
53,Banamali Basera Apartment,here:pds:place:356tgt5c-ccc223a1370a4f29bc6be496fe2a920f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34717, 'lng': 85.83617}]",2354,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Banamali Basera Apartment, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.34719,85.83637,,
54,Mani Tirumala Apartment,here:pds:place:356tgt5c-4b0d7e9d063146069b6b6c37313a5b9f,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36822, 'lng': 85.83295}]",2369,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Mani Tirumala Apartment, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.36823,85.83294,,
55,Badri Apartments,here:pds:place:356tgt58-506eca5e82f4b0a7aa1bb208fb13b637,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33359, 'lng': 85.81436}]",2369,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Badri Apartments, Sailashree Vihar-Hig Duplex, Chandrasekharpur, Bhubaneswar 751021, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Sailashree Vihar-Hig Duplex,751021,20.33351,85.81435,,
56,Rashmi Lifestyle,here:pds:place:356tgt5c-ce56c9dc28678b1c6b44c6e6a634d670,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36041, 'lng': 85.83745}]",2407,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Rashmi Lifestyle, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,,751024,20.3605,85.83757,,
